Hypothesis,Reference
"toxocariasis is a widespread native parasitosis caused by toxocara - type nematode larvae that is manifested as various clinical symptoms . 
 it is commonly seen in children younger than 12 years of age in rural areas . in this article 
 , we describe a 13 year - old girl who presented with a history of recurring episodes of left focal motor seizures of 16 weeks duration and right focal motor seizure of eight weeks duration . on examination , vital parameters were normal and general physical examination did not reveal any specific abnormality . computed tomography ( ct ) revealed a right frontoparietal parasagittal mass lesion with a contrast - enhancing ring , perilesional edema , and a central cystic component . a repeat ct scan of the brain done two months later revealed further enlargement of the ring - enhancing lesions in the left frontal parasaggital region .","cerebral larva migrans ( clm ) is an uncommon and rarely diagnosed entity . 
 we report here a histopathologically proven case of clm in a 13 year - old girl , who presented with bilateral focal seizures , right hemiparesis , and lapsed into altered sensorium prior to admission . 
 her ct scan was suggestive of a granulomatous lesion which eventually turned out to be clm ( toxocariasis ) . 
 interestingly , the lesion recurred after excision , with a confusing clinical picture . following the second surgery , 
 the pathology was reconfirmed and cure was provided for the disease . 
 there has been no further intracranial recurrence during the past ten years although she developed cutaneous lesions ."
"the insulin - like growth factor ( igf ) system is a monomeric transmembrane protein with no kinase activity and has not been shown to play a role in the development of ewing sarcoma . 
 the igf-1 receptor is activated by growth hormone and function in a negative feedback loop to control growth hormone release . in addition to standard chemotherapeutics , future clinical trials will need to incorporate novel biologic agents in an effort to achieve further survival improvements .","the insulin - like growth factor ( igf ) signal transduction pathway appears to play a key role in the development and proliferation of the ewing sarcoma family of tumors . 
 integration of anti - igf-1 receptor therapy into the standard treatment for these patients is a novel approach that will likely be incorporated into future treatment to determine whether such agents will improve the outcome for patients with this malignancy ."
"a 47-year - old woman was referred to this clinic for a dramatic non - scarring hair loss of occipito - vertical region since a month . 
 a fluoroscopically - guided guglielmi detachable coil ( gdc ) coiling procedure as a non - invasive treatment was suggested . a preliminary angiography lasting for two and half hours was done followed by an attempt to perform coiling that lasted unsuccessfully for four hours . after waiting for two days to let the dye drain out , 
 the procedure was attempted again , and coiling was done successfully in two and a half hours . a week later , the patient developed headache , for which another ct scan was done . after a period of 14 weeks of observation and no active treatment , she showed significant re - growth of dark hair .","a 47-year - old indian woman with dark hair developed dramatic alopecia of the occipito - vertical area two weeks after a fluoroscopically - guided endovascular procedure for treatment of cerebral aneurysm . 
 there was spontaneous repopulation of hair in 14 weeks . 
 neuro - radiological intervention procedures are becoming commoner by the day in india , and the rare but documented possibility of such reactions occurring in patients should be kept in mind by the treating surgeon as well as dermatologist . 
 necessary counseling regarding this uncommon side - effect is of essence , especially when the radiation dose exceeds 3 gy . 
 we believe this is the first case ever reported in indian dermatology literature ."
"a 7-day - old male infant was transferred to our hospital with tachypnea and poor oral feeding . 
 physical examination of the newborn revealed microcephaly ; dysmorphic facial features including micrognathia , microphthalmia , epicanthus , low - set and malformed ears ; broad and flat nasal bridge ; short neck and flat occiput ; widely spaced nipples ; thumb in palm hand deformity ; and both calcaneovalgus foot abnormality . in the out - patient department examination at 3-months - of - age 
 , the patient displayed a significant growth deficiency with vomiting , body weight of 4.0 kg ( < 3 percentile = 5.6 kg ) , body length of 55.3 cm , body circumference of 34.7 cm , and head circumference of 38.2 cm . on 21 february 2011 , 
 the patient received ligation of the patent ductus arteriosus ( pda ) due to congestive heart failure , which alleviated the heart failure symptoms . to the best of our knowledge , this is the first report of ring chromosome 6 in a child .","the clinical features of ring chromosome 6 include central nervous system anomalies , growth retardation , facial dysmorphism and other congenital anomalies . 
 ring chromosome 6 occurs rarely and manifests as various phenotypes . 
 we report the case of mosaic ring chromosome 6 by conventional karyotyping in a 7-day - old male infant diagnosed with a large patent ductus arteriosus ( pda ) with hypoplasia of aortic valve and aortic arch . 
 these have not been previously reported with ring chromosome 6 . 
 he recovered from heart failure symptoms after ligation of the pda . 
 he showed infantile failure to thrive and delayed milestone in a follow - up evaluation . to the best of our knowledge , 
 this is the first report of a korean individual with ring chromosome 6 and hemodynamically significant pda ."
"congenital coarctation is a narrowing of the descending aorta which typically is located at the ligamentum arteriosum just distal to the left subclavian artery . 
 this condition may be undiagnosed until adult life , when the clinical presentation most often is high blood pressure ( bp ) in both or more seldom in only one of the upper extremities .","the present case shows that a normal brachial blood pressure ( bp ) does not exclude severe coarctation and should be considered in normotensive patients presenting with a systolic murmur and/or unexplained severe left ventricular hypertrophy . 
 congenital coarctation of the aorta is a narrowing of the descending aorta , usually located distal to the origin of the subclavian artery , causing hypertension in the upper part of the body . 
 this condition may be undiagnosed until adult life where the clinical presentation most often is high bp in the upper extremities . a 57-year - old patient with severe aortic coarctation and left ventricular hypertrophy presented with normal brachial bp . 
 however , standard suprasternal view by echocardiography indicated coarctation . 
 multislice computed tomographic ( ct ) angiography revealed an uncommon location of the aortic narrowing with the right and left subclavian arteries originating below the area of coarctation , explaining the equally low bp in both upper extremities ."
"a 70-year - old male presented with a gradually growing mass on his left superior bulbar conjunctiva . 
 surgical excision included a 2-mm margin of healthy tissue around the conjunctival stalk and the underlying tenon 's capsule followed by meticulous hemostasis with a bipolar cautery . in view of the special clinical characteristics of such a malignancy 
 , the patient was referred to the immunology and infectious diseases department for evaluation and subsequent postoperative follow - up of his general health .","kaposi 's sarcoma is an uncommon endothelial malignant tumor , first described by moricz kaposi in 1872 . 
 it is commonly encountered in patients with acquired immunodeficiency syndrome ( aids ) , immunosuppression or organ transplantation . 
 conjunctival kaposi 's sarcoma is a rare tumor , mostly in patients with aids . 
 we present a selected case with a superior bulbar conjunctival lesion in a patient who is hiv negative and immunocompetent , with an unremarkable general medical history . 
 the lesion was surgically excised with no adjunctive treatment , and histological examination confirmed the diagnosis . 
 there was no recurrence or metastasis 5 years after surgery ."
"antiphospholipid syndrome ( aps ) is characterized by thrombosis or miscarriage associated with positivity for lupus anticoagulant ( lac ) or anticardiolipin antibody tests . 
 the syndrome has also been described in subjects with no autoimmune disorder , where it is known as primary aps . in this case  control study , we examined 107 subjects with aps , diagnosed on the basis of the classic clinical and laboratory criteria ( ie , smoking habits , hypertension , diabetes mellitus , hypercholesterolemia , and obesity ) , and to identify any diseases correlated with atherosclerosis ( ie, acute myocardial infarction , angina pectoris , transient ischemic attack , stroke , carotid endarterectomy , arterial vascular disease , or aortic aneurysm ) . of the 107 cases observed , we excluded 76 because they had risk factors for cardiovascular disease or previous clinical manifestations of atherosclerotic diseases . in the deep breath test , 
 antiphospholicipid antibodies were measured in a 1:100 plasma dilution , using the asserachrom apa system ( diagnostica stago , par","introductionthe correlation between primary antiphospholipid syndrome ( aps ) and cardiovascular events is well known , but the correlation between aps and sudden death is not clear ; it probably correlates with sympathetic alterations of the autonomic system.aimto compare the autonomic nervous system ( ans ) in a group of subjects suffering from aps against that of a control group with no cardiovascular risk factors , matched for age , sex , and body mass index.subjects and methodsan equal number ( n = 31 ) of subjects with aps , and healthy controls , underwent autonomic evaluation : tilt test , deep breath , valsalva maneuver , hand grip , lying - to - standing , stroop , and sweat tests.resultscases in the aps group were positive for the tilt test , relating to changes in respiratory rate intervals , by comparison with controls . 
 results of other tests were also altered significantly in aps cases , by comparison with controls . 
 ( the sweat and stroop tests were only performed in 14 cases ) . 
 autonomic disease did not correlate with age , sex , history of disease , arterial or venous thrombosis , or antibody positivity ; only their coagulation parameters correlated with autonomic dysfunction.conclusionautonomic dysfunction in aps seems to correlate with coagulation parameters . 
 aps patients should receive autonomic evaluation , to minimize the risks of fatal arrhythmias and sudden death ."
"maturity - onset diabetes of the young ( mody ) is a group of monogenic heterozygous diseases caused by mutations in more than 13 different genes , resulting in disruption of insulin secretion . 
 recently , it was believed that insulin resistance ( ir ) is characteristic only for diabetes mellitus type 2 ( dm2 ) , but recently , there have been reports of possible ir in patients with mody . in this paper , we present a clinical case of a patient with dm with a glucokinase ( gck ) mutation and significant ir .","we report the case of a 12-year - old boy with a glucokinase ( gck ) mutation , and diabetes with hyperinsulinemia and insulin resistance . for 4 years 
 , the patient intermittently received insulin medications actrapid hm and protaphane hm ( total dose 5 u / day ) , with glycated hemoglobin ( hba1c ) levels of 6.6%7.0% . 
 after extensive screening the patient was found to carry a heterozygous mutation ( p.e256k ) in gck ( mim # 138079 , reference sequence nm_000162.3 ) . 
 insulin therapy was replaced by metformin at 1,700 mg / day . 
 one year later , his hba1c level was 6.9% , postprandial glycemia at 120 min of oral glucose tolerance test was 15.4 mmol / l , hyperinsulinemia had increased to 508.9 
 mu / l , homeostasis model assessment index was 114.2 and the matsuda index was 0.15 . 
 insulin resistance was confirmed by a hyperinsulinemic euglycemic clamp test 
 m - index was 2.85 mg / kg / min . 
 this observation is a rare case of one of the clinical variants of diabetes , which should be taken into account by a vigilant endocrinologist due to the need for nonstandard diagnostic and therapeutic approaches ."
"ostriches provide dietetic meat , valuable skin , feathers and eggs . however , one of the basic reasons for the hindered development of this new agricultural activity is its low reproduction rate and high housing costs . 
 the aim of the study was to identify specific genetic markers of ostrich hens kept in breeding pairs or trios at the stypuw farm , poland , which maintains the birds under conditions compliant with eu recommendations by the committee of the european convention for the protection of animals kept for farming purposes ( t - ap).materials and methods : a total of 30 microsatellite loci characteristic of the ostrich , derived from the cau ( china agricultural university ) group , were analyzed using a thermal cycler ptc-200 engine ( mj research).results:a total of 10  ml comprising 10  ng of template dna , 0.5  mm of each nucleotide , 100  pmol , 50  mm kcl , 10  mm tris 
 hcl and 0.01  % tryton x-100 were used for the analysis of the individual markers.conclusion:microsatellite sequences are widely used as genetic markers , because they occur in","the aim of the current study was to search for genetic markers , microsatellite loci associated with laying performance in ostriches . 
 the material consisted of two groups of ostrich hens characterized by high or low laying performance ( over 75 and less than 25 eggs per season , respectively ) . 
 the investigation covered 30 microsatellite loci characteristic for the ostrich ( the cau group ) and led to identification of significant differences in allele and genotype frequencies between the two groups of hens considered . 
 out of a total of 30 microsatellite loci examined , 28 showed different alleles in relation to analyzed performance groups . in hens of high laying performance ( hp group , n 
 =  12 ) , specific alleles occurred in 23 microsatellite loci ( 40 alleles of 243 identified ) , while in those of low egg production ( lp group , n  =  12 ) , they occurred in 22 ( 51 alleles of 243 identified ) . 
 the results indicate the usefulness of the microsatellite loci as the potential genetic markers associated with laying performance that can be applied for genetic improvement of ostrich flocks ."
"the purpose of this study was to determine if terbinafine would release from an impregnated implant designed for subcutaneous placement over the dorsum of bats infected with g. destructans . 
 the in vitro release of terbinalfine from the implant was evaluated at two different temperatures , 4c and 37c , over the course of approximately 6 months . in vitro analysis of samples was performed to determine whether terbinefine would be released from the implants over a course of many months without degradation of the implant in an in vitro setting . in addition , in vitro and in vivo analysis of the samples was carried out to determine the extent of the terbinofine release in the implant . in this study 
 , we found that terbuinafine was released in a way that was similar to the body temperatures of hibernating ( 4c ) and nonhibernating bats ( 37c ) . in conclusion 
 this study suggests that the implant may be able to be used as a safe and effective antifungal agent in bats with a high degree of safety and efficacy .","a terbinafine impregnated subcutaneous implant was evaluated to determine if drug was released into isotonic saline over the course of 6 months at two different temperatures , 37c and 4c . 
 these temperatures were chosen to simulate the nonhibernating ( 37c ) and hibernating body ( 4c ) temperatures of little brown bats ( myotis lucifugus ) . 
 insectivorous bats of north america , including little brown bats , have been devastated by white nose syndrome , a fungal infection caused by geomyces destructans . 
 no treatments exist for bats infected with g. destructans . 
 implants were placed into isotonic saline ; samples were collected once per week and analyzed with hplc to determine terbinafine concentrations . 
 the mean amount of terbinafine released weekly across the 28 weeks was approximately 1.7  g at 4c and 4.3  g at 37c . 
 although significant differences in the amount released did occur at some time points , these differences were not consistently greater or less at either of the temperatures . 
 this study showed that terbinafine was released from an impregnated implant over the course of 6 months at concentrations ranging from 0.02 to 0.06  g / ml depending on temperature , which may be appropriate for little brown bats ( myotis lucifugus ) infected with geomyces destructans , the etiologic agent of white nose syndrome ."
"mycosis fungoides ( mf ) and szary syndrome comprise approximately 53% of primary cutaneous lymphomas . 
 typical histopathologic picture in mf is the presence of a dense infiltrate of atypical lymphocytes in the dermis with epidermotropism , though cd8 + and double negative cd4/cd8 variants have been described.we present a 43-year - old man presented with large areas of atrophic , wrinkled and dyspigmented skin , mainly distributed over his buttocks and ventral aspect of both thighs extending up to the popliteal fossa . at present , the patient is on a tapering dose of oral prednisolone along with regular local dressing ; which is continuing till date .","mycosis fungoides ( mf ) , a primary cutaneous t - cell lymphoma , accounts for < 1% of non - hodgkin lymphomas . the diagnosis of classic mf is based on a constellation of typical clinical presentation , histopathology , immunohistochemistry , and t - cell monoclonality detected by molecular studies . 
 rarely , atypical clinical presentation may occur . 
 the typical immunohistochemical phenotype is , cd2 + ve , cd3 + ve , cd5 + ve , cd4 + ve , and cd8  ve . 
 here , we report a rare case of cd8 + ve mf in a 43-year - male patient who was clinically diagnosed as pyoderma gangrenosum initially . the atypical presentation and rarity of such case 
 have prompted this report ."
"vitamin a deficiency is the leading cause of preventable childhood blindness in the developing world . 
 although rare in the united states , vitamin a deficiency has been known to occur as a result of poor dietary intake , liver diseases , and gastrointestinal malabsorption . in this report 
 , we report a case of bilateral sequential corneal ulceration in a 29-year - old man with eosinophilic gastroenteropathy and atopic keratoconjunctivitis .","purpose : vitamin a deficiency is a very rare condition in the developed world and can lead to a variety of ocular changes from xerosis and xerophthalmia to corneal ulcer and perforation . 
 the treatment of this devastating disease is simple and inexpensive . 
 it is therefore important to recognize and treat accordingly , especially in the event of ulcers unresponsive to treatment or in the presence of severe malnutrition / malabsorption syndromes . 
 the purpose of this case report is to remind physicians of the potentially devastating effects of vitamin a deficiency on the eyes and to demonstrate outcomes after vitamin a treatment . 
 methods : single observational case report . 
 results : a 29-year - old male with known eosinophilic gastroenteropathy was treated with oral steroids for peripheral ulcerative keratitis . 
 two weeks after resolution , the patient suffered from peripheral ulcerative keratitis in his other eye , with a self - sealing perforation . 
 vitamin a deficiency was confirmed and successfully treated , leading to subsequent resolution of signs and symptoms . 
 conclusions : vitamin a deficiency can be present in patients with malabsorption and malnutrition syndromes and should be considered as cause of corneal ulceration ."
"objective : to investigate the correlation between these predictors and problematic mobile phone use.materials and methods : a total of 610 questionnaires were distributed to college students of several university campuses in japan . of these , 
 ages ranged from 18 to 25 years ( mean : 20.07 ; standard deviation : 1.35 ) . 
 all of the questionnaire studies were performed following declaration of helsinki and institutional ethical guidelines.results:the japanese translations of the mobile phone problem usage scale(1 ) and the neo - efi(7 ) were employed in this study . a multiple regression analysis revealed that females , high extraverts , high neurotics , and low open - minded are liable to score higher on the scale [ f(6,497 ) = 13.00 , p < 0.001 ] . in addition , the prevalence of extraversion , neuroticism , openness - to - experience , and openness to experience was significantly correlated with problematic mobile phones use ( p<0.001).conclusion:the use of mobile phones is a serious problem for the individual and society .","background : although a mobile phone is useful and attractive as a tool for communication and interpersonal interaction , there exists the risk of its problematic or addictive use.objectives:this study aims to investigate the correlation between the big - five personality domains and problematic mobile phone use.materials and methods : the mobile phone problem usage scale and the neo five - factor inventory ( neo - ffi ) were employed in this study . 
 survey data were gathered from 504 university students for multiple regression analysis.results:problematic mobile phone use is a function of gender , extraversion , neuroticism , openness - to - experience ; however , it is not a function of agreeableness or conscientiousness.conclusions:the measurement of these predictors would enable the screening of and intervening in the potentially problematic behaviors of mobile phone users ."
"key clinical messagewe describe a novel approach to the detection and characterization of antimicrobial drug interactions in yeast . 
 we show that antimicrobial agents can be used to detect antimicrobial resistance in yeast , and that they can be detected in yeast by measuring the antimicrobial activity of yeast in yeast strains .","we present saint ( significance analysis of interactome ) , a computational tool that assigns confidence scores to protein - protein interaction data generated using affinity - purification coupled to mass spectrometry ( ap - ms ) . 
 the method utilizes label - free quantitative data and constructs separate distributions for true and false interactions to derive the probability of a bona fide protein - protein interaction . 
 we demonstrate that saint is applicable to data of different scales and protein connectivity and allows for the transparent analysis of ap - ms data ."
"we identified 103 ancestry - informative markers ( aims ) for mexican americans identified by kosoy et al . 
 by pca of the 103 aims , the cchc participants showed a predominant admixture of european and amerindian ancestries , using the sequenom iplex assay .","objectivean elevated insulin resistance index ( homeostasis model assessment of insulin resistance [ homa - ir ] ) is more commonly seen in the mexican american population than in european populations . 
 we report quantitative ancestral effects within a mexican american population , and we correlate ancestral components with homa-ir.research design and methodswe performed ancestral analysis in 1,551 participants of the cameron county hispanic cohort by genotyping 103 ancestry - informative markers ( aims ) . 
 these aims allow determination of the percentage ( 0100% ) ancestry from three major continental populations , i.e. , european , african , and amerindian.resultswe observed that predominantly amerindian ancestral components were associated with increased homa - ir (  = 0.124 , p = 1.64  107 ) . 
 the correlation was more significant in males ( amerindian  = 0.165 , p = 5.08  107 ) than in females ( amerindian  = 0.079 , p = 0.019).conclusionsthis unique study design demonstrates how genomic markers for quantitative ancestral information can be used in admixed populations to predict phenotypic traits such as insulin resistance ."
"langerhans cell histiocytosis ( lch ) is a rare group of myeloid dendritic cell disorders , namely eosinophilic granuloma of bone , hand  schuller  christian disease and letterer  siwe disease . 
 these disorders may present with single or multi - organ involvement commonly involving skin , bone , the reticuloendothelial system and the central nervous system . in this article 
 , we report the case of a patient with lch who developed renal aa amyloidosis in the absence of any other established cause . a 37-year - old woman was referred with progressive renal dysfunction concurrent with heavy proteinuria . at the age of 2 years 
 she had been found to have a brainstem tumour , which was neither biopsied nor removed due to its location . following treatment with chemotherapy , radiotherapy and insertion of a ventriculoperitoneal shunt , her neurological recovery was slower than expected with subsequent cranial imaging demonstrating local haemorrhage around the area of shunt replacement with a small area of infarction in the right plantar occipital region .","we report the case of a 37-year - old woman who presented with progressive renal dysfunction and proteinuria , in whom renal biopsy confirmed a diagnosis of aa amyloidosis . no evidence of chronic suppurative infection , connective tissue disease or malignancy was found . 
 a past history of langerhans cell histiocytosis ( lch ) diagnosed in childhood was noted for which the patient had been successfully treated with surgical excision , corticosteroids , radiotherapy and chemotherapy . 
 renal disease in lch is not widely recognized and thus we describe a patient with lch in whom aa amyloidosis developed in the absence of any other established cause ."
"a 32yearold primigravida was referred by her local obstetrician at 17 weeks ' gestation regarding positive second trimester quad screen results , in which the risk of trisomy 21 in the fetus was estimated to be 1/130 . 
 ultrasound examination identified a single intracardiac echogenic focus , increasing the risk 8 of the fetus to 1/49 . at 7 months of age , 
 a cord blood sample and eight placental biopsies were taken for routine cytogenetics and fish ( fluorescence in situ hybridization ) analyses . at the 7-month follow - up 
 , the patient was referred for further evaluation after a third trimester ultrasound revealed a fetal growth lag . at 38 weeks of gestation , the fetal fetus was delivered with apgars of 7/7 and weighing 2450 g . the newborn 's facial features , including upslanting palpebral fissures , epicanthal folds , and flat nasal bridge , were consistent with trisom 21 . at this time , the baby 's maternal and fetal characteristics were similar to those observed in the fetal sample , but there was no evidence of fetal or placental mosaicism .","key clinical message 
 nipt ( noninvasive prenatal testing ) detected trisomy for two chromosomes . 
 one trisomy reflected the fetal karyotype , and the other resulted from cpm ( confined placental mosaicism ) . 
 this case illustrates that extensive cytogenetic analysis can be required to identify cpm , and that patients should be counseled regarding the possibility of discordant nipt results ."
"wiskott - aldrich syndrome ( was ) is an x - linked congenital immune - deficiency syndrome characterized by the triad of recurrent infection , eczema , and thrombocytopenia , and bone marrow transplantation ( bmt ) from an hla - matched related donor is an effective treatment . 
 patients without an appropriate related donor could receive an alternative stem cell source such as matched unrelated donor or cord blood . however , the transplant with the alternative donor needed more intensive conditioning to overcome the hematologic and immunologic barrier with increased treatment - related toxicity . recently , fludarabine - based reduced toxicity myeloablative conditioning regimens have been developed for adult myeloid malignancies with promising results of good engraftment and low treatment related toxicities .","wiskott - aldrich syndrome ( was ) is an x - linked congenital immune - deficiency syndrome , and bone marrow transplantation ( bmt ) has become a curative modality . 
 however , the transplant with the alternative donor needed more intensive conditioning with increased treatment - related toxicities . 
 recently , fludarabine - based reduced toxicity myeloablative conditioning regimens have been developed for adult myeloid malignancies with promising results of good engraftment and low treatment - related toxicities . to increase the engraftment potential without serious complications , 
 a boy with was received successful unrelated bmt with a reduced toxicity myeloablative conditioning regimen composed of fludarabine ( 40 mg / m2 on days -8 , -7 , -6 , -5 , -4 , -3 ) , busulfan ( 0.8 mg / kg i. v. q 6 hr on days -6 , -5 , -4 , -3 ) , and thymoglobulin ( 2.5 mg / kg on days -4 , -3 , -2 ) . 
 this novel conditioning regimen could improve the outcome of allogeneic transplantation for other non - malignant diseases such as congenital immune - deficiency syndromes or metabolic storage diseases ."
"background : multiple sclerosis ( ms ) is the most common cause of neurological disability in adults with an unpredictable clinical course and variable manifestation . to our knowledge , 
 no studies have yet been carried out on the association between seizure and ms in iranian patients.aim:the purpose of our study was to analyze the seizure and its characteristics in patients with ms.materials and methods : we conducted a general study in medical records of all definite ms patients referred to ms clinic of kashani hospital , isfahan , iran , from march 2007 to june 2011 . 
 the collected data included demographic information , the characteristic of a decisive seizure occurrence , the course of ms , degree of disability , related electroencephalography ( eeg ) and magnetic resonance imaging ( mri ) finding , and information about the prescribed antiepileptic drugs ( aed ) until now.results:the mean duration of ms onset was 8.17 years ( range 1 - 20 ) and the mean edss was 3.3 ( ranged 0 - 8.5 ) . at the time of study ; ms type was predominantly rr type ( 61.7% and 58.8% respectively ) . among these 29 patients with seizure activity","background : there is a broad variation in reported frequencies of seizure in multiple sclerosis ( ms ) . in this study , the seizure and its characteristics analyzed among a large group of patients with ms.patients and methods : we reviewed the medical records of all definite ms patients referred to the ms clinic of kashani hospital , isfahan , iran , between 2007 and 2011.results:altogether , 34 cases with seizure activity identified among the 920 definite ms subjects ( 3.69% ) . 
 five excluded due to the other probable etiologies rather than ms . in the remained 29 patients ( 3.15% ) , 
 the type of seizure was mostly generalized ( 79.3% ) ; interictal electroencephalography showed an abnormal pattern in 84.6% , brain magnetic resonance imaging revealed subcortical white mater lesions in 84.6% of patients . 
 the mean duration of ms onsets was 8.17 years and the mean interval between ms onset and the first seizure occurrence was 3.7 years . 
 in general , response to antiepileptic treatment was excellent.conclusion:seizures can occur at any stage during the course of ms , but it is more common during the early stages ."
"background : migraine is characterized by attacks on various cns - evoked responses by a deficit of habituation . 
 other mild abnormalities have been identified that are unlikely to play a pathogenic role : a decreased safety factor at the neuromuscular junction on single fiber emg ( sfemg ) and subclinical cerebellar hypermetria in the horizontal plane on opto - electronic analysis of upper arm - reaching movements.methods:twelve patients suffering from typical aura with migraine headache ( mta  ichd - ii code 1.2.1 ; three women and five men ; median age 28.5  years ; range 1367 ) and five patients with migraine without aura ( mo  
ichd  ii code 
 1.1 ) underwent both stimulation - sfsemg and 3d - movement analysis.results:the mean mcd was 810 movements in the study group ( p<0.05).conclusion:the results of this study suggest that migraine patients may be of a similar degree as those suffering from headache without aura .","in previous studies , we described subclinical abnormalities of neuromuscular transmission and cerebellar functions in migraineurs . 
 the aim of this study was to search if these two functions are correlated in the same patient . 
 thirteen migraineurs [ five without aura ( mo ) and eight with aura ( ma ) ] underwent both stimulation - sfemg and 3d - movement analysis . single fiber emg ( sfemg ) results were expressed as the  mean value of consecutive differences 
 ( mean mcd ) . 
 precision of arm - reaching movements ( measured with an infrared optoelectronic tracking system ) was expressed as the average deviation in the horizontal plane . 
 median values of mean mcd and mean horizontal deviation were not different between mo and ma . 
 however , in ma , but not in mo , both variables were positively correlated . 
 thus , we conclude that neuromuscular transmission and cerebellar functions are correlated in the same patient when affected by migraine with aura . 
 we suggest that this correlation might be due to a common molecular abnormality ."
"pulmonary calcification , typically asymptomatic , can be caused by a number of diseases , most common being end - stage renal disease . 
 we describe a case of pulmonary calcifications associated with chronic kidney failure , which has been improved by medical treatment .","pulmonary calcification is a subdiagnosed metabolic lung disease that is commonly asymptomatic and frequently associated with end - stage renal disease . 
 we report a case of a 21-year - old man with a 4-year history of end - stage renal disease without respiratory symptoms . 
 we discover incidentally on a bone scan a pulmonary calcification . 
 parathyroidectomy was refused by the patient . 
 after 3 months of medical treatment , a second bone scan was done , and we found a partial response ."
"cavernous hemangiomas ( chs ) are benign vascular structures inserted within the neural tissue , occurring in the central nervous system , and consisting of a dilated vascular bed . 
 existence in the epidural space without bone involvement is rare1,10 ) , and only 4% of all chs ( 0.22/1.000.000 ) are purely epidural 
 . clinical symptoms are usually seen as slowly progressive paraparesis , myelopathy and localized pain1,5 ) . although magnetic resonance imaging ( mri ) is the best diagnostic method for this lesion , it is not a definitive one8 ) . we felt it appropriate to present this case because chs in the spinal space have rarely been encountered.case reporta 55-year - old male patient was admitted to our clinic with complaints of back pain beginning two years previously . additionally , he had progressive spastic paraparesia in both lower extremities , and an inability to stand without support for the previous 3 months . upon neurological examination , 
 he was found to have a mass lesion along the t7 - 8 vertebral body levels , with a slightly lower signal than the cerebrospinal fluid on the t2","cavernous hemangiomas were first reported in 1929 by globus and doshay , and are defined as benign vascular structures developed between the neural tissues occurring in the central nervous system , consisting of a dilated vascular bed . 
 cavernous hemangiomas comprise nearly 5 - 12% of all spinal vascular malformations ; however , existence in the epidural space without bone involvement is rare . 
 only 4% of all cavernous hemangiomas ( 0.22/1.000.000 ) are purely epidural cavernous hemangiomas . in this case report 
 , we removed a hemorrhagic thoracic mass presenting with progressive neurological deficits in a 55-year - old male patient . 
 we found this case to be appropriate for presentation due to the rare occurrence of this type of cavernous hemangioma ."
"tuberculous lesions of the liver may be unexpectedly detected during abdominal surgery . also , these lesions can , mistakenly , be diagnosed as tumour - like mass or cystic lesions in the liver on screening investigations . 
 we discuss two cases of hepatic tuberculosis due to diagnostic dilemma and rarity of these lesions .","hepatic tuberculosis is a rare manifestation of extra - pulmonary tuberculosis . 
 hepatic tuberculous lesions are especially mimicking tumour - like mass or cystic lesions in the liver and so can be misdiagnosed with several diseases . 
 histopathological examination of the specimen is essential in the diagnosis for hepatic tuberculosis . in this report 
 , two cases with hepatic tuberculosis having cystic solid mass and abscess liver lesions are described ."
"maffucci 's syndrome is a rare , congenital , nonhereditary mesodermal dysplasia which consists of hemangiomas of the soft tissue and multiple enchondromas . 
 we report a case of a 30-year - old female who presented with multiple soft cystic swellings over the dorsum of both hands , palms , and dorsum on the left side of both feet since childhood . a ct scan of the abdomen showed postcholecystectomy status , altered pancreatic parenchyma with peripancreatic edema . with these clinical and laboratory findings 
 she was diagnosed as muffucci -s syndrome with hyperparathyroidism . with this diagnosis 
 the patient was treated with bone curettage and grafting .","maffucci 's syndrome is a rare , congenital , nonhereditary , mesodermal dysplastic disease characterized by venous malformations and benign cartilaginous tumors . 
 the occurrence of endocrine tumors in maffucci 's syndrome is very rare . 
 we report a case of maffucci 's syndrome associated with hyperparathyroidism and multinodular goiter ."
"a 56-year - old korean woman presented with blurred vision in the right eye of two months duration . 
 fluorescein angiography ( fag ) and optical coherence tomography ( icga ) were performed to evaluate the effect of intravitreal bevacizumab injection on cnv size and progression to the center of the fovea despite the previous pdt treatment performed at another medical center in the same area . at the initial visit 
 , fag showed subfoveal classic cnv associated with leakage and peripapillary hyperfluorescence corresponding to the angioid streaks in the left eye . at a follow - up visit , 
 the lesion exhibited persistent leakage or growth on fag and icga and when the presence of subretinal or intraretinal fluid on oct combined with decreasing visual acuity was detected . at this time , the patient improved from 20 / 125 at baseline to 20 / 50 at four months . at 8 months 
 of follow - ups , the cnv decreased from 1,280 m to 730 m at 4 months , and there was no evidence of hemorrhage at the final visit .","a 56-year - old korean woman presented with decreased visual acuity of the right eye . 
 she had a history of two photodynamic therapy treatments for choroidal neovascularization ( cnv ) due to angioid streaks in her left eye with central scarring and low visual acuity . 
 she was diagnosed with subfoveal cnv due to angioid streaks in her right eye and treated with six intravitreal bevacizumab ( 1.25 mg / 0.05 ml ) injections over one year . 
 best corrected visual acuity improved from 20 / 125 at baseline to 20 / 50 at the final visit . 
 the area of cnv had changed into a fibrotic scar by the final visit , and fluorescein angiography and indocyanine green angiography revealed no evidence of leakage . 
 optical coherence tomography showed that central macular thickness decreased from 311 m at baseline to 203 m with complete resolution of subretinal and intraretinal fluid at the final visit . 
 intravitreal bevacizumab for cnv associated with angioid streaks prevented the progression of disease and resulted in the improvement of visual acuity after one year of follow - up in our patient ."
